Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,PRE_Q15,PRE_Q15CF,PRE_Q12,PRE_Q12CF,PRE_Q13,PRE_Q13CF,PRE_Q14,PRE_Q14CF,PRE_Q26,PRE_Q26CF,PRE_Q27,PRE_Q27CF,PRE_Q23,PRE_Q23CF,PRE_Q28,PRE_Q28CF,PRE_Q19,PRE_Q19CF,PRE_Q3,PRE_Q3CF,PRE_Q16,PRE_Q16CF,PRE_Q10,PRE_Q10CF,PRE_Q11,PRE_Q11CF,PRE_Q33,PRE_Q33CF,PRE_Q34,PRE_Q34CF,PRE_REPEAT,PRE_WHYREPEAT,PRE_FREQEN,PRE_CALC,PRE_DAILYM,PRE_DAILYG,PRE_ATT_DL_1,PRE_ATT_DL_2,PRE_ATT_DL_3,PRE_ATT_DL_4,PRE_ATT_DL_5,PRE_ATT_SC_1,PRE_ATT_SC_2,PRE_ATT_SC_3,PRE_ATT_SC_4,PRE_ATT_SC_5,PRE_LK1,PRE_LK2,PRE_LK5,PRE_ANX#1_1,PRE_ANX#1_2,PRE_ANX#1_3,PRE_ANX#1_4,PRE_WHYCS_1,PRE_WHYCS_2,PRE_WHYCS_3,PRE_WHYCS_4,PRE_WHYCS_5,PRE_WHYCS_6,PRE_WHYCS_7,PRE_WHYCS_7_TEXT,PRE_YEAR,PRE_YEAR_5_TEXT,PRE_MAJOR_NEW_1,PRE_MAJOR_NEW_2,PRE_MAJOR_NEW_3,PRE_MAJOR_NEW_4,PRE_MAJOR_NEW_5,PRE_MAJOR_NEW_6,PRE_MAJOR_NEW_7,PRE_MAJOR_NEW_8,PRE_MAJOR_NEW_9,PRE_MAJOR_NEW_10,PRE_WHYMAJ_1,PRE_WHYMAJ_2,PRE_WHYMAJ_3,PRE_WHYMAJ_4,PRE_WHYMAJ_5,PRE_WHYMAJ_6,PRE_WHYMAJ_7,PRE_WHYMAJ_8,PRE_WHYMAJ_8_TEXT,PRE_AGE,PRE_GENDER,PRE_RACE_1,PRE_RACE_2,PRE_RACE_3,PRE_RACE_4,PRE_RACE_5,PRE_RACE_6,PRE_RACE_7,PRE_DIS_1,PRE_DIS_2,PRE_DIS_3,PRE_DIS_4,PRE_USEDU,PRE_EFFORT,SC0
16,445,0,9/2/18 22:00,R_3lsG7P29GL14gOd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,24,0,9/2/18 22:01,R_3qVjqTPGDwEy4UZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,26,0,9/2/18 22:01,R_2e9Xc9nZR1VN8Yx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
100,1140,1,9/3/18 19:21,R_21jiylaIBBnK7tX,3,3,3,3,2,2,3,3,2,3,2,2,1,2,3,3,2,3,2,4,2,4,1,3,2,3,3,4,4,3,2,,1,2,1,2,2,2,3,2,1,2,2,2,1,1,3,3,3,1,2,2,3,1,,,,,,,,1,,,,1,,,,,,,,1,1,1,,,,,,,2,1,,,,,,1,,1,1,1,,1,5,9
100,535,1,9/3/18 19:26,R_3oFyvym79vnTRd8,1,1,3,2,1,2,5,1,2,1,2,1,2,1,4,2,4,1,3,1,2,2,4,2,1,1,4,1,3,1,2,,1,1,1,0,2,2,2,2,3,2,2,2,2,3,2,3,3,2,2,2,2,1,1,,,,,,,2,,,,1,,,,,,,,,1,1,,,,,,,2,2,,1,,,,,,,,,,1,1,4
100,2555,1,9/3/18 20:19,R_x60M82LkZqLK2Zj,2,3,3,3,2,3,3,2,2,4,4,2,1,3,2,3,2,3,2,3,2,3,2,3,2,2,3,3,4,3,2,,4,2,3,2,2,1,1,3,3,3,1,2,3,4,3,4,3,1,1,1,1,1,,,,,,,,4,,,,1,,,,,,,,1,1,,,,,,,,3,2,,,,1,,,,,,,,1,5,10
100,1183,1,9/3/18 21:23,R_bEfWCBsgiFEEiyZ,3,3,3,3,2,2,3,2,2,4,4,2,4,2,2,3,2,3,2,3,2,3,2,2,1,2,3,3,4,3,2,,5,4,3,2,3,3,2,2,3,3,2,2,3,3,3,3,3,2,2,3,3,1,1,1,,,,,,2,,,,,1,,,,,,,1,1,1,,,,,,,2,2,,,,1,,,,,,,,1,5,13
100,885,1,9/3/18 21:45,R_3EXQUEpRTRRVyqO,3,4,3,4,2,3,3,3,2,4,3,4,4,3,2,4,2,4,2,4,2,4,2,4,1,4,3,4,4,4,2,,4,3,3,3,2,2,1,2,2,2,2,1,2,3,3,3,3,1,2,1,1,1,,,,,,,,3,,,,,1,,,,,,,1,1,1,1,,,,,,2,2,,1,1,,,,,,,,,1,5,14
100,1112,1,9/4/18 0:17,R_2yfs2dSwTXKLMLQ,3,4,3,4,2,4,4,4,2,4,3,4,4,4,2,3,2,3,2,4,2,4,2,4,1,4,3,4,4,4,2,,4,1,3,2,1,2,1,2,1,2,3,2,3,3,4,4,3,1,1,2,1,,,,,,1,1,,5,,,,,1,,,,,,,1,1,,,,,,,,3,1,,,1,,,,,,,,,1,5,15
100,748,1,9/4/18 0:17,R_1mPJmbaDvyfkZru,3,3,3,3,2,2,3,1,2,3,1,3,3,2,2,4,2,3,3,4,2,3,2,3,1,2,3,3,3,2,2,,1,3,2,1,2,3,3,2,3,2,3,3,2,3,3,3,3,3,4,2,3,1,,,,,,,,3,,,,,1,,,,,,,,,1,,,,,,,2,1,,1,,,,,,,,,1,1,3,10
100,7561,1,9/4/18 0:35,R_sjILltw4LCzBnkB,3,4,3,4,2,3,4,3,2,4,3,4,3,3,2,4,2,4,2,4,2,4,2,4,1,4,3,4,4,4,2,,1,4,2,1,2,3,2,1,2,3,4,4,2,3,3,4,2,2,2,2,3,1,1,,,,,,,2,,,,,,1,,,,,,1,,1,1,,,,,,2,1,,1,,,,,,,1,,,2,5,14
100,875,1,9/4/18 0:41,R_3qBVO7VELx1YLKQ,3,4,3,4,2,4,4,4,2,4,3,4,4,4,2,4,2,4,2,4,2,4,2,4,1,4,3,4,4,4,2,,4,1,3,2,1,1,1,1,1,2,3,3,2,2,4,4,4,1,1,1,1,1,,,,,,,,4,,,,1,,,,,,,,,,1,,,,,,,2,1,,1,,,,,,,,,,1,5,15
100,1242,1,9/4/18 0:47,R_1kTS0W98lnCnSHD,3,3,3,2,1,2,3,2,1,1,2,1,1,1,1,4,2,2,2,1,3,1,3,1,2,1,4,1,5,1,2,,3,1,3,2,2,4,4,2,2,4,4,4,4,4,3,3,3,3,1,1,3,,1,,,,,,,3,,,,,,,,,,,1,1,,,,,,,,,2,2,,,,1,,,,,,,,1,3,4
100,1243,1,9/4/18 0:52,R_DSkP1uVhTkqI9WN,2,3,3,4,4,3,3,3,2,4,4,1,4,3,2,4,2,4,2,4,2,4,2,2,1,4,3,3,4,4,2,,4,1,3,2,2,1,1,2,2,3,3,1,4,4,3,4,3,2,1,1,1,1,1,,,,,,,4,,,,1,,,,,,,,1,1,1,1,,,,,,2,2,,,1,,,,,,,,,2,5,11
100,974,1,9/4/18 0:52,R_cSyuotgqSBmKhq1,3,4,4,3,2,2,4,3,2,4,3,2,2,1,2,3,2,4,2,4,2,4,2,4,1,3,3,4,4,3,2,,2,4,3,2,2,3,1,2,2,3,3,2,3,3,3,4,4,2,1,1,2,1,,,,,,,,2,,,,1,,,,,,,,1,1,,,,,,,,2,2,,1,1,1,,,,,,,,1,5,13
100,836,1,9/4/18 1:33,R_sU7zo9uug3Q8MkF,3,4,3,4,1,2,3,1,2,3,3,3,2,1,2,2,2,3,2,4,3,3,3,2,2,3,3,4,4,4,2,,3,4,3,2,3,3,1,2,3,3,3,1,3,4,3,4,4,3,3,3,3,1,,,,,,,,4,,,,1,,,,,,,,,1,,,,,,,,2,2,,,,1,,,,,,,,1,4,9
100,1921,1,9/4/18 1:35,R_12PXRIjgLHEIF5U,3,3,3,3,2,1,3,2,2,3,3,3,4,3,2,3,2,3,2,3,2,3,2,3,1,3,3,3,4,3,2,,3,1,2,1,2,3,2,2,2,3,3,2,3,3,3,3,3,2,1,2,2,1,,,,,,,,3,,,,1,,,,,,,,,,1,,,,,,,2,2,,,,,,1,,,,,1,1,5,14
100,841,1,9/4/18 2:37,R_3FXrETWN3b9OmDG,3,3,3,3,1,3,3,3,3,3,2,3,2,3,2,3,2,3,2,3,3,3,2,1,2,3,2,3,3,3,2,,2,4,2,3,2,2,2,2,2,2,3,2,2,2,3,4,3,,,,,,,1,,,,,,4,,,,1,,,,,,,,1,,1,,,,,,,2,2,,1,,,,,,,,,1,1,3,6
100,2500,1,9/4/18 3:17,R_24BDKHHmZCVag5q,3,3,3,3,4,2,2,2,2,3,1,2,1,2,2,2,2,2,2,4,2,2,2,2,2,2,3,2,4,2,3,,4,4,3,2,2,2,1,2,2,2,3,1,2,3,4,3,3,2,2,2,2,1,,,,,,,,3,,,,1,,,,,,,,,1,,,,,,,,2,2,,1,,,,,,,,,,1,5,10
100,2167,1,9/4/18 3:40,R_3R2avVs4gxtsveQ,3,3,3,3,1,2,3,3,2,3,3,3,4,2,2,3,2,2,2,3,2,3,2,3,1,3,3,3,4,3,2,,2,1,2,1,2,3,2,3,3,4,3,2,3,4,3,3,2,3,3,1,2,1,,,,,,,,3,,,,1,,,,,,,,,1,,,,,,,,2,1,,,,,,1,,,,,1,1,5,13
100,844,1,9/4/18 3:57,R_1E9ZtKSAI7XizCC,1,3,4,3,1,3,3,2,2,3,3,2,1,3,2,1,2,3,2,3,2,3,2,3,2,2,3,1,3,1,2,,2,2,3,3,4,2,2,3,3,4,3,1,4,4,3,3,1,2,2,2,2,1,,,,,,,,3,,,,1,,,,,,,,1,,,,,,,,,2,1,1,1,,,,,,,,,,1,3,8
100,734,1,9/4/18 4:35,R_1C3gumN3C9DQzjT,1,3,3,4,1,4,3,3,2,4,1,3,4,3,3,3,3,3,3,4,2,4,2,3,1,1,2,3,5,3,2,,1,2,1,1,2,3,4,2,2,2,4,4,2,2,4,3,3,1,2,1,1,,,1,,,,,,2,,,,1,,,,,,,,,1,,,,,,,,2,1,,,,1,,,,1,,,,1,5,6
100,1648,1,9/4/18 5:23,R_2zbB6wfDAs5aYAj,3,2,3,1,2,1,4,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,3,2,4,2,2,,1,4,0,0,4,4,4,4,4,4,4,4,4,4,1,2,1,4,4,4,4,1,,,,,,,,3,,,,1,,,,,,,,,,1,,,,,,,3,2,,,1,,,,,,1,,,1,4,12
100,1325,1,9/4/18 5:31,R_tFZ57nudyx4KhuF,3,3,3,3,3,3,4,3,2,3,3,3,4,3,2,3,2,3,2,3,2,3,2,3,1,3,3,3,4,3,2,,5,3,3,3,2,2,2,2,2,3,3,2,3,3,3,3,3,2,2,2,2,1,,,,,,,,2,,,,1,,,,,,,,1,1,,,,,,,,2,2,,1,,,,,,,,,,1,5,14
100,1628,1,9/4/18 6:50,R_3JI52QYTpUl3ova,3,3,3,3,1,4,3,2,2,4,3,4,4,4,2,4,2,4,2,4,2,4,2,4,1,4,3,4,4,4,2,,4,4,2,1,2,4,1,1,2,3,3,2,4,4,4,4,3,2,4,1,3,1,1,,,,,,,3,,,,1,,,,,,,,1,1,1,1,,,,,,2,2,,1,,,,,,1,,,,1,5,13
100,1350,1,9/4/18 7:44,R_rlhseQB568PfC0h,3,4,3,4,2,3,4,3,2,4,3,4,3,4,2,4,2,4,2,3,2,4,2,4,1,4,3,4,4,4,2,,3,3,2,1,2,3,1,2,2,3,3,2,4,4,4,3,3,2,2,1,2,1,,,,,1,,,2,,,,1,,,,,,,,1,1,1,,,,,,,2,1,,1,,,,,,,,,1,1,5,14
100,1572,1,9/4/18 7:56,R_sSWcsjYwbUCU2Rz,3,4,3,3,2,2,4,3,2,3,3,3,4,3,2,4,2,4,3,3,2,4,2,4,1,4,3,4,4,4,1,7,3,4,3,1,2,2,1,2,2,2,2,1,2,1,4,3,3,1,1,2,1,1,,,,,,,,4,,,,1,,,,,,,,1,1,1,,,,,,,2,2,,,1,,,,,,,,,2,5,14
100,2078,1,9/4/18 11:59,R_3HzPqoHJTAXyxbc,3,4,4,3,2,1,4,1,2,3,3,4,1,3,2,4,2,3,2,4,2,3,2,3,1,3,3,3,4,2,2,,1,4,0,0,3,3,3,3,3,3,3,3,3,3,2,2,3,4,4,4,4,1,1,,,,,,,3,,,,1,,,,,,,,1,1,1,1,1,,,,,2,1,,1,,,,,,,,,,1,5,13
100,1294,1,9/4/18 14:31,R_1Pd8m55Ftu6MTKB,3,4,3,3,4,1,3,1,2,4,3,4,4,4,2,4,2,4,2,4,2,4,2,3,1,3,3,4,4,4,2,,5,1,3,1,1,3,1,2,4,3,4,3,4,4,3,3,3,3,3,2,2,1,,,,,,,,2,,,,1,,,,,,,,,1,,,,,,,,2,2,,1,,,,,,,,,1,1,5,13
100,206,1,9/4/18 16:34,R_3exeSLqDbOY3R2d,2,2,3,2,2,3,2,2,2,3,2,3,2,2,3,2,3,2,3,3,2,2,3,2,3,2,3,2,3,3,2,,3,2,3,2,3,3,2,3,3,3,3,2,3,3,2,3,3,,,,,1,1,,,,,,,3,,,,,,,,,,,1,,1,1,,,,,,,2,2,,1,,,,,,,,,1,1,3,5
100,695,1,9/4/18 16:42,R_2CWasnb3bjhKwiJ,2,3,3,4,1,3,3,3,1,3,1,1,2,1,2,2,2,4,3,3,1,2,2,2,1,1,2,2,3,1,2,,4,1,3,2,3,2,1,2,2,3,2,1,1,2,4,3,4,2,3,3,1,1,,,,,,,,4,,,,1,,,,,,,,1,,,,,,,,,2,2,,,,1,,,,,,,,2,2,5
100,711,1,9/4/18 16:43,R_cCFM9bNUS3dUPPb,1,1,2,1,2,1,3,1,2,4,1,1,4,1,3,1,2,1,3,4,3,4,2,1,2,1,2,1,4,1,3,,2,1,1,1,3,4,4,2,2,3,3,3,3,3,3,3,3,,,,,1,,,,,,,,4,,,1,,,,,,,,,1,,,,,,,,,3,1,,,1,,,,,,,,,1,5,6
100,781,1,9/4/18 16:44,R_xr8s3fx3WYnO9MZ,3,3,3,3,3,2,4,3,2,3,1,3,4,3,2,3,2,3,1,3,2,3,2,3,2,2,1,3,4,2,1,7,4,4,2,2,2,3,2,2,3,3,3,2,3,3,3,3,3,2,2,1,2,1,1,,,,,,,4,,,,1,,,,,,,,1,1,1,,,,,,,2,2,,,1,,,,,,,,,1,5,10
100,821,1,9/4/18 16:45,R_23au4O3XITXNHM2,3,3,4,3,2,2,3,2,2,3,1,2,4,2,1,1,2,3,2,3,2,2,2,2,1,2,3,2,4,2,2,,1,5,2,2,2,3,2,3,3,3,3,2,3,3,2,2,2,3,2,2,3,1,,,,,,,,4,,,,1,,,,,,,,1,1,,,,,,,,2,2,,1,,,,,,,,,,1,3,11
100,2500,1,9/4/18 16:45,R_2XiEpvZdgHGPguM,3,4,3,4,2,4,4,3,2,4,3,4,4,4,2,3,2,4,2,4,2,4,2,4,1,4,3,4,4,4,2,,3,2,2,2,2,2,1,2,2,3,2,1,2,2,3,3,3,1,1,1,2,,,,,,,1,,5,,,,,,,,,,,1,,1,,,,,,,,2,1,,,1,1,,,,1,1,1,,1,4,15
100,934,1,9/4/18 16:46,R_3hmZ5AD2fRc7fqE,3,3,3,4,3,2,3,2,2,4,4,2,3,2,2,4,2,4,2,3,2,3,2,3,1,3,3,3,4,3,2,,3,3,3,1,3,4,3,2,3,4,4,4,3,3,2,1,3,3,4,1,4,,1,,,,,,,5,6th year,,,1,,,,,,,,1,,,,,,,,,2,2,,1,,,,,,,,,,1,3,11
100,919,1,9/4/18 16:48,R_eUPXBKQwHUphzgJ,3,3,5,4,1,2,2,3,4,2,1,2,2,2,1,3,3,3,3,3,2,3,2,2,3,2,3,3,5,2,2,,2,3,2,2,,4,,,,,4,,,4,3,2,2,,,,1,,1,,,,,,,3,,1,,,,,,,,,,1,,,,,,,,,4,1,,,,1,,,,,,,,2,2,4
100,919,1,9/4/18 16:48,R_9XFIf08h9QqCjXr,3,3,3,3,2,3,3,3,2,3,3,3,1,2,2,3,2,3,2,3,2,3,2,3,1,3,3,3,4,3,2,,5,2,3,3,2,1,1,2,3,2,1,1,2,3,4,4,4,1,1,1,2,1,,1,,,,,,4,,,,1,,,,,,,,1,1,,,,,,,,2,1,,1,1,,,,,,,,,1,5,13
100,968,1,9/4/18 16:48,R_yKgigCxaZREE9yx,3,3,3,3,2,2,4,2,2,3,3,3,4,2,2,3,2,3,2,3,2,3,2,3,1,3,3,3,4,3,2,,5,2,3,3,2,2,1,1,2,2,2,1,1,2,3,3,3,1,1,1,1,1,,,,,,,,3,,,,1,,,,,,,,1,1,1,1,,,,,,2,2,,,,,,,1,,,,1,1,3,15
100,806,1,9/4/18 16:48,R_bvB1BkIFn86HGXD,2,3,3,4,2,3,2,3,2,3,2,3,3,3,1,3,2,3,2,3,1,3,2,3,2,4,2,3,2,3,2,,1,4,2,1,2,4,4,2,2,3,4,4,3,3,3,3,3,2,2,3,3,1,,,,,,,,4,,,,1,,,,,,,,,,1,,,,,,,2,2,1,,,,,,,1,1,1,1,2,3,6
100,972,1,9/4/18 16:49,R_tY5QNRlBprRGVFL,3,4,3,4,2,4,4,4,2,4,3,4,3,3,2,4,2,4,2,4,2,4,1,1,4,1,3,4,4,4,2,,1,3,2,1,2,3,2,3,2,3,3,1,2,3,4,4,3,3,3,3,3,1,,,,,,,,3,,,,1,,,,,,,,,,1,,,,,,,2,1,,,,1,,,,,,,,1,4,12
100,1119,1,9/4/18 16:50,R_U9FdbuMsH12lWut,3,4,3,4,3,2,4,3,2,4,3,4,4,3,2,4,2,4,2,4,2,4,4,3,2,1,3,4,4,3,2,,5,2,3,2,3,1,1,2,2,2,2,2,3,3,4,4,3,1,2,2,2,1,,,,,,,,3,,,,1,,,,,,,,1,1,1,1,,,,,,2,1,,,,,,1,,1,,,,2,5,12
100,1194,1,9/4/18 16:53,R_WuqMkq7mZtfsdXP,2,2,4,3,2,3,3,1,2,3,3,3,2,2,1,2,3,2,3,3,2,3,3,2,2,1,2,3,4,3,2,,3,1,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,1,,,,,,,,4,,,,1,,,,,,,,,,1,,,,,,,2,2,1,,,,,,,,,,,1,2,5
100,914,1,9/4/18 16:57,R_1gLA589ouF3GyYg,3,4,3,4,3,3,4,3,2,3,3,4,4,4,3,2,2,4,2,4,2,4,2,4,1,4,3,4,4,4,2,,5,2,3,3,1,1,1,1,1,3,1,1,3,4,4,4,4,1,1,1,1,,,,,,,1,pre-med coursework,4,,1,1,,,,,,,,,1,,1,1,,,,,,2,2,,,1,,,,,,,,,1,5,13
100,647,1,9/4/18 16:58,R_29n1dGvdnIxMGdg,3,4,4,3,1,3,4,3,1,3,2,3,4,3,2,3,2,4,2,4,2,4,3,1,2,3,3,3,4,3,2,,4,1,3,3,2,3,1,2,3,2,3,1,2,3,3,3,3,1,2,2,3,1,,,,,,,,3,,,,1,,,,,,,,1,,,,,,,,,2,2,,1,,,,,,,,,,1,4,9
100,874,1,9/4/18 17:16,R_3Es4K4yGsC7VIgG,3,4,3,4,4,1,5,1,2,4,4,1,1,1,2,4,2,4,2,4,2,4,2,1,1,1,2,2,4,4,2,,4,3,2,2,2,2,1,3,3,2,3,4,4,4,3,4,3,2,3,1,1,1,,,,,,,,4,,,,1,,,,,,,,1,1,1,1,,,,,,2,2,1,,,,,,,,,,,1,3,10
100,429,1,9/4/18 18:05,R_3Evdw8QoSiO49tM,2,3,2,3,3,2,3,2,2,4,1,1,1,1,3,1,2,3,3,3,2,3,2,3,1,1,1,1,2,1,2,,1,1,1,1,3,3,2,3,3,4,4,4,4,4,4,4,4,2,1,1,1,1,,,,,,,,4,,,,,,,,,,,1,1,,,,,,,,,2,2,,,,,1,,,,,,,1,3,5
100,1256,1,9/4/18 18:13,R_3qZP5fG3DkI77W9,3,3,3,3,2,3,4,3,2,3,1,3,3,3,2,3,2,2,2,4,2,4,2,3,1,3,3,3,4,3,2,,3,1,3,1,2,1,2,2,1,3,3,2,2,2,3,3,2,2,2,1,2,1,1,,,,,,,2,,,,,,1,,,,,,,1,1,,,,,,,2,1,,,,1,,,,,,,,1,4,13
100,1361,1,9/4/18 18:14,R_3kjm5OPzxPLkc8B,2,2,3,4,1,3,5,2,2,4,3,4,4,3,2,4,1,3,2,3,2,4,2,4,1,4,3,4,4,4,2,,2,4,3,3,2,2,2,2,2,3,2,2,3,3,3,3,3,3,2,3,1,1,,,,,,,,1,,,,,,1,,,,,,1,,,1,,,,,,2,1,,1,,,,,,,,,,1,5,11
100,1377,1,9/4/18 18:14,R_Xv6Ro6DkdFoHOGB,3,3,3,3,2,2,3,2,2,3,1,2,4,2,2,3,2,3,2,3,2,2,2,2,2,1,1,3,2,1,2,,1,3,3,1,2,4,2,2,2,3,3,3,3,3,2,3,2,3,3,1,2,1,,,,,,,,4,,,,,,,,,,,1,,,,,,,1,,,2,2,1,,,,,,,,,,,1,5,10
100,1601,1,9/4/18 18:16,R_1Nb8pSUAKi8ufzA,3,4,3,3,2,3,5,3,1,4,1,3,1,3,3,3,3,3,1,3,3,3,2,3,2,3,3,3,4,3,2,,4,1,3,2,2,2,2,2,2,2,3,2,2,3,3,3,3,1,1,1,1,1,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,3,1,,1,,,,,,,,,1,1,5,6
100,880,1,9/4/18 18:23,R_Xte3m4fye0aqfQZ,1,4,2,2,2,3,3,2,4,3,1,3,3,3,2,3,2,3,2,3,2,4,3,2,2,2,2,2,3,3,2,,1,3,1,2,1,2,2,3,2,2,3,3,2,2,3,3,3,2,3,3,2,,1,,,,,,,3,,,,,,,,,,,1,1,,,,,,,,,2,1,,,,,,1,,,,,,2,3,5
100,2218,1,9/4/18 18:24,R_ukLVqdMkwmLWDL3,3,4,3,4,2,4,4,2,2,4,3,4,1,2,2,4,2,4,2,3,2,4,1,2,1,4,3,4,4,4,2,,2,3,3,1,2,3,1,2,2,3,3,1,3,3,3,3,2,1,2,1,2,1,,,,,,,,3,,,,1,,,,,,,,,1,1,,,,,,,2,1,,,,1,,,,,,,,1,4,13
